"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","410863.355329865","No"
"0x0000000000000000000000000000000000000003","2","No"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","8.6899760686E-08","No"
"0x000000003a7cd5b15e460f73976b267544726f5f","1E-18","No"
"0x00000000acd5ca17eee6d92d9ca121543126cce1","1E-18","No"
"0x00000000b1786c9698c160d78232c78d6f6474fe","2.3131641787642E-05","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-18","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-18","No"
"0x00000000e8080db3ed60313725643d38bec42071","1E-18","No"
"0x000000917de6037d52b1f0a306eecd208405f7cd","1E-18","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-18","No"
"0x0000787ac4ff49ff6e7f0860c43b30ec5d7f4f1a","0.809524016634703","No"
"0x000354015865e6a7f83b8973418c9a0cf6b6da3c","2","No"
"0x0004d6ebdc34c8a7c4b1d90b3b43766b4e34c1c2","16682.9162643589","No"
"0x0005b7f089d9176ffc3d98006fcc2eaf0ce00e57","2","No"
"0x000ca554fb43cb1c3946f3b40fc75917dd3659a7","33368.77349975","No"
"0x000cd83e39fb2a01116f1269b0b5c16ef5833f75","17.05367232","No"
"0x000f6c08fe963246521d1b5967766ef7309b42fc","2","No"
"0x0016b9c836223cf9ec2c2a6732214d714f42a384","129","No"
"0x0018573bbfdedcea76f6a7fa24b4dea3fdaa0333","2","No"
"0x00188138e0aa8aebd7bb5a7463231f3ab280c7ae","2","No"
"0x001b348d8464b22edb4c6ef5682da440dc6187f5","2","No"
"0x001c65334a0dc30a6b93840dad257372b579d76c","2","No"
"0x001d8813e53d278c46ec4e474e23d4517d836b08","2","No"
"0x001f97747a0c668c6b5bdcba2998bc197a9c3b67","2","No"
"0x0020eb076ec624aa1eef3a33af46fc6d642cd1a0","2","No"
"0x002248c68fc09e7be0cc9910714733c9e5f632d7","20","No"
"0x002af37eb46d8d024c1ff9708e3bc0fef5473d55","2","No"
"0x00306f5dca521d058a099229d09597a4a9892ff9","2","No"
"0x0031b97068ed8010e33fb595be0c37da7b3a3f59","5","No"
"0x0033385fc28ae24fa4eca23c7e56d7847f5d2317","2","No"
"0x0033d578f8a125a00eb22057848ffaf94c35d676","2","No"
"0x0035785be9f1678bfa3a8ec5d3c9a861542a548c","2","No"
"0x0045fa93dedb0af02956f7d7c306b34263688872","733.737079332263","No"
"0x004b5d1054771a01ddf697ae43b0db0211941c56","327","No"
"0x004d0a02396065c1e395ac404fec26898c475c7c","2","No"
"0x00500d3f20d8695f022974ec8a64949a372691c3","305","No"
"0x0051426df3f52b0a6e61cd8fa764601bfad5a968","7649","No"
"0x005391ee370ab6050cd72473f98eea1783893d54","2","No"
"0x0054c7f5d3f4325f8c1e9fe3d65b33fe34524c6c","2","No"
"0x005680324c3abadf021cd3e99583aee7d0b66cf2","708.567574522618","No"
"0x0057f9ef487ef51f66aae61cc16e86f55e06bd3a","2","No"
"0x005988e84c6cc6ee06e815abcda5fad8468ab413","13.1161904803327","No"
"0x0059a05a80c4259b7381ac96512c57cec9db197b","2","No"
"0x005abe233c9cc4b47c08052a6b3bb9233c39b360","42.6330273743835","No"
"0x005ad1bfd4f8a84d4a3b65ef497a5ba370b66f86","70.8567567436942","No"
"0x005da24397e39b5364968bced1f624f5b176d88f","2","No"
"0x005e52b0902e2e8d6699967f604a3fc29929e292","274.905039456816","No"
"0x0060c863f30b063b4a623a5e2b1ba6ccbb0ca5c9","2","No"
"0x006332aba4cf1d742a374519421b9adb2a430683","2","No"
"0x0068a93282e1712173e392001e818b6729dd9e16","2","No"
"0x0069323e77b7155480c4e2582553d50ab7a39d23","2","No"
"0x006b126df73664b6a2a0f85fe35b39dfb22d20ad","2","No"
"0x006bb1a2f867f3047db79ca36a176620cc7f623e","5.772333433","No"
"0x00710548ebcf5ca3b3f315f9b5b8673fff860e13","2","No"
"0x0072dd6b64353039b42d8026c032b7acaf2c8977","2","No"
"0x0072ffb8069bdd4f791fbf9352a7226c7f46ecd9","2","No"
"0x0074709077b8ae5a245e4ed161c971dc4c3c8e2b","2","No"
"0x007ad9c17baadd99a91b1e8a202d007cd9f35ef1","2","No"
"0x007b32682f22573bf78eb2fd675fe1c24e1f5929","2","No"
"0x007c55530e825c52f677967db4206f0a80171e88","2","No"
"0x0081bf1bba31389dcbda5954e71e42e3893a3d9a","2","No"
"0x0082dcfb4d60c21324ffd757bdc9a4b4591ef405","2","No"
"0x0096ca31c87771a2ed212d4b2e689e712bd938f9","10","No"
"0x0099f40769ad28179779a4b7322c0a05e7785fee","2","No"
"0x009c179896054ba07fea9e36b5329b9d25b877a8","33368.7730005","No"
"0x009c4488e74fff54e3499f25db1be74f7872a5c3","2","No"
"0x009cdd69d4aa8b5ca9fdb88c66dca4742cf17a2c","208.857363142967","No"
"0x00a14ba4482cd823614250eec8df287ede6808c7","708.567567436942","No"
"0x00a2d7a8e6367b494ac37014cfceaec1c18ea84b","2","No"
"0x00a58e177484f15ed7fa727c4dd0e0e59cfc63e6","2","No"
"0x00b3ea2392c2aa3c3fd5b4c91e16248da08ce79a","2","No"
"0x00b93483a1a796e8e13834e9bfd09ea170a23a35","2","No"
"0x00bb6652fd7274e2e518e22e20aec7fb04604e97","1822.51","No"
"0x00bf034cec51975faece51b285724301436b21c4","1E-18","No"
"0x00c0ad3e195da4b0db6715b7becbee44f43c4771","2","No"
"0x00c2cdfd0ccf699632d87bac5802e9136f9989e2","2","No"
"0x00c68c0ca0819a5b0af1c2cf432fb099383026a0","186.608114897991","No"
"0x00c958e8b330e56b4fa6add01aae95cfdfe74087","2","No"
"0x00cb827afd0701bc37e01a860ce64c76255cd2bd","445.3011578","No"
"0x00cf8bc1a4c86cc08df3700837d5d170ed3079c6","2","No"
"0x00d2dca8b551461b7f2557b9c35a48c1a7bf5fd6","10","No"
"0x00d6241b0c5d96860c2938d4c5fe82b45b9bcc4d","2","No"
"0x00d6c6827ade171438a9668d5715e48b2b9f8e4e","2","No"
"0x00dcb04100ac1fece9ab01e8dcd1e58e02c2e2fa","2","No"
"0x00de55bee6ead417ea3dd1dcdacb4262dd67fde3","2","No"
"0x00df2d95ee12319da9caec3c5f78a688a25e2e9a","2","No"
"0x00e376a6f4af42352510e3995c4f285240d2b685","79.8264685781988","No"
"0x00e56d0929070567b7d885ba90d79427f2882943","102.771881106283","No"
"0x00e8a633347ebae34438ecc0ed687f9f33542637","13","No"
"0x00ec41e597074aab4d79b1574ceec89add35dac8","275.892594283731","No"
"0x00f0af4258d1e209e060ed80b0c4c7666421c333","2","No"
"0x00f68a79bf71103ab23794c973f92e8dc66db429","0.000337132700188983","No"
"0x00fbbddcbcc49f70609d9c2fb122f950e5aca2b0","6294","No"
"0x00fbfc11b4042f8bcf234fad86d1cced41ea8383","2","No"
"0x00ff6b7d26407a46af2b631b4fa452a036d027e5","2","No"
"0x0105c26c5d013bb32223dbb2a4bbd98e9b0c320a","11.4795648643188","No"
"0x01075bbfd15716095d49ef89d979595241305cac","7.349240329E-09","No"
"0x010bfa90e7fb795eb7f8b22a738894b4ed6b91bc","2","No"
"0x010dcb6ece9a5fc7bbaff4602fdef7e914462d55","2","No"
"0x010f046083445687e5258eefa267d88108fe7221","2","No"
"0x0114d60ed315f29f320bc4a6cb70d660af2936da","2","No"
"0x011d1e5301373087ba8305731049ddbe18d81a6c","45.7491869917521","No"
"0x011ec57046f9ac5d0ada943225c0d8938be24cd3","2","No"
"0x0128a3db4926cfeece5e7048353a61bb43bba4e1","2","No"
"0x0129d859f129e0305c818c6a9dd957c9b94b88cc","2","No"
"0x012a49bd23039414b35abe402e2724e27ce35472","1000","No"
"0x0130d5a12f830cef1a24b96e19b688f9899f9c2f","2","No"
"0x013979cb3b33c7ded96fcc85d0ca8303fb1ad57e","2","No"
"0x0139ff936448de165faf70bdceaa5372f00fd9d1","2","No"
"0x013aa6b0d641bd6c2f8b2ae1066056ca57be635f","2","No"
"0x013b92e7959f8b3c0b4f41d7bc2978b48e4c185d","2","No"
