"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x00000000751edf02c727ea9d0c1c8e64f169e343","1E-18","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-18","No"
"0x00000000e8080db3ed60313725643d38bec42071","1E-18","No"
"0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c","1E-18","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-18","No"
"0x0000e9ef000000a15f1f02c1008d21eb66001534","1E-18","No"
"0x000ed27ca5a468fcf30cec1899c28b09f357481e","20000","No"
"0x009d0f9fdeeee14f5be52527a2724441dc76804d","2550","No"
"0x014d7b9e841c05be84f9c9ad97ac611c01f1ab76","1321.41049924328","No"
"0x01c9d3e05f5eb89a666ff5c93cc6d44e9d26fc6b","8987.9604086155","No"
"0x02b5e9ba8b25ad0a02048a09d1d7978f3531541e","11211.4452132813","No"
"0x0308794cbd50174be3401e08e352960b2e39b9d0","313.060438809915","No"
"0x0326c1d3fe79a8967bd508c6869e55826ec12e41","500","No"
"0x03431cdeb9478d36618fcb64cef605f6e391b860","5160.3735138894","No"
"0x0399a825973d10d78be9b169a0c3845080e54e71","30","No"
"0x03a0d10b3a3d5853df5ed31d314bc50f376bd0c7","5345.64228012968","No"
"0x03ebc9cca268d47d127b4664c59feb6005fc6c41","410.602066072251","No"
"0x041e2222515e839444cc89148fbafc3643360c42","51","No"
"0x05370385add407cdf247b552010feaa15bdf4839","4515.3638784806","No"
"0x0567a6f397609778b32a29ff22b2ec799fefe85f","57.7084534834981","No"
"0x057abd1d9ab031d38a0110caac401d294df487f8","26430.8482743223","No"
"0x05aec30b6135a83982594f16e8f6cb53524baf63","0.215295408220709","No"
"0x05cbe60dc65f51997dbe575e2067d729bde74fd1","510","No"
"0x05feec927dafa6860318efb6bfe71670a681f6c6","608.274321240149","No"
"0x06b919e4244ffa28ca049108b4a8a039cf010d95","153","No"
"0x0719921fca850dce9522d812ddebc2e5218cb2f9","3190.07722900568","No"
"0x07c9f747887280a6efc930fb0fd4f36c2298f109","100","No"
"0x09cdb6e1aaba38ee2f45234ebf306d871d079b3e","173.154587326808","No"
"0x0a2df955cc672895123c5cd58d3cd6a1c4ff4801","382.5","No"
"0x0a373008f6712aed69d699bca4c72cb71666c627","13419.1416146312","No"
"0x0a50aab40457b964ee06c87e831e5e7bb037d743","12789.0049427921","No"
"0x0a7993716ba873085fe16c3b306e9e42c5e220bd","1785","No"
"0x0b1a25431d629343ac516361c8a2b577709ca4cf","2021.95368055803","No"
"0x0b1c80754c5ac67006e389576550dfa85a2b11c6","3825","No"
"0x0cac9c3d7196f5bbd76fadcd771fb69b772c0f9d","10946.993555326","No"
"0x0e4c6715ac7bc80a93f47bbf92281a88ad729c1e","701200.097129161","No"
"0x0e56e31a6241977fc46383aac121ac00bca8d2a4","5500000","No"
"0x0e917dcffb792dbfb36b75afcc1a5d6174ec94e2","11782.4857757113","No"
"0x0eed6e8adccce3eb1d4d6f791f245b0bab7b3de0","0.00999999999997635","No"
"0x0f0924a3a5111e7987a23a49af826d2ba431342e","1016.91408160696","No"
"0x0fe4ee0b53d6e952fbe01cdc046461c6a9482f72","300","No"
"0x1019fceac4fbbdf74abc44d0fdb1dfef1e734562","127.5","No"
"0x107bc65bfdf16d110e7f1302af79e2f63320570b","941.293318479293","No"
"0x10e93c8beff4081dddd9290beb58191ba54747a5","0.499999999999999","No"
"0x1129a37834ace23b61c614a22e34a0d433a0dd24","196.824113717364","No"
"0x113f351453fc8547e435fa71aecc8a1c70f6a24a","255","No"
"0x114f175158bb98c45d0bb97a87a434c584c81d8c","280.5","No"
"0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb","149.424463280266","No"
"0x12f80cf731dad25a4aa03781a09b0de6be3958bf","1012.37253614526","No"
"0x1322ca4118cedfbd83ef0c2fa5ddfad82ccd53bb","1419.66389716835","No"
"0x142066eeba654e744cb4089c584062e3cfb0066a","744.319546539503","No"
"0x1489e86a45174413516fa90979b805e7e8889075","659.733007992741","No"
"0x152ad66bd57da8d539abaaf98d7c378621c36227","7078.90366612459","No"
"0x15da74d3822193464b0bdb86091195e8d0ec9a9e","0.0509999999987297","No"
"0x17c898b9c2c6b5e6e59393de41f689e28f947776","1290.18899791135","No"
"0x18e6755a5dabec3f2fbe5b1ef4e02b3a4dea4eef","1992.86377127109","No"
"0x19861cc1b3f18607bbce62d469967761820ee729","2014.45314971875","No"
"0x19a37604bbfd817018ebaaf3a3e256dce52cf224","1250","No"
"0x1a1426f686326a4bf37a531826baedf0acb6719a","382.5","No"
"0x1a94f2b0a3185d94298a610e18bc63637707eb38","1833.47223334752","No"
"0x1af09e5cbb518d8393d251aded2919a187767b9d","652.060784286079","No"
"0x1b1703561345e29bb91250cfcdc38171159a1532","0.0947095991011686","No"
"0x1b3006d57d5d9653a4ecaea6cfb0fd72a1537cc9","1E-18","No"
"0x1b9fecde11f3d45e0b06ee8c09a9f24132af3682","1321.01070389359","No"
"0x1c02b3b6f06d17f2ab428c4af0420806fa1dfc97","3681.59919370748","No"
"0x1c3a0aa388b25c7172a37268b2396753ca7b6d89","392.76743890917","No"
"0x1c8af8516f9f2b11755ec9f4ac36c2707587399f","170","No"
"0x1c90e8a6227e92f5a6dcf6f8163f967ce256b377","101.338464268733","No"
"0x1cbefae3e2bc352ce595769f833c6f67048a1054","3060","No"
"0x1cc63914c76954f8df4e198885be8f4bdccde212","5000","No"
"0x1d7b13d2c5c130e698dffaa11d76adabc787f269","153.10767737321","No"
"0x1d8f7292a831c766387fc53ef683b11198249510","2550","No"
"0x1e06d0337a5bc4d425bb2a2201776fcc6e9173f5","15300","No"
"0x1e121993b4a8bc79d18a4c409db84c100fff25f5","1294.72001170367","No"
"0x1e18b8b6f27568023e0b577cbee1889391b2f444","637.5","No"
"0x1e2f705786ec9929bba5cab70bca23275933931e","637.5","No"
"0x1fc196bd5e889f6d12d949a2c786411bd019337d","470.284112618844","No"
"0x2060ed60ce4c09beaea3fc0461dd12818f049a26","200","No"
"0x21271500be1638e05e6fba300520f4f019f34a4e","5100","No"
"0x227723e4d0a90ceddffa84dc9a8d808dafdc6bad","500000","No"
"0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de","6812.47335043797","No"
"0x2421efc3b3670866fe06313bc043e4c7a28e8e9c","400","No"
"0x24ba87e84915de93abf61ffe0e0930fe4892618c","1715.86067358696","No"
"0x24e6d835f23b9716af984f6604625c6b074015cd","13056.8309839797","No"
"0x258c4c7aa11b40446e22ceacb0b70faa50a486c4","467.388488533554","No"
"0x25bfb4440eabe6316568c1037ca15de16a3b55d0","2500","No"
"0x25c9cd7a86f50a8e84cdd4debb64fa2569ead8f7","4.48275718295637","No"
"0x27376b23fdb4c57f672c24f1747e89b5c8ba529b","15422.6595531317","No"
"0x276610bb86cb4fee287bc8c28a1127b8bf886a43","2669.73754783067","No"
"0x27c5be8c394f85b6fbf92292afef5833f75d21e9","8000000","No"
"0x29113104f8d78f94d1a6ecbe33b3d700b99e66a7","765","No"
"0x2911b0b454c462f0aaafe63335b6bf5dac651863","510","No"
"0x2915d4783bb358fee315b808a74aee87be59f8a4","3553.12563012189","No"
"0x294803520a1e7b671c105c8a3d94836f40b2b557","2090.75815804919","No"
"0x299992776587a17c7c023fde801f9a988cd2e08e","391.051949087796","No"
"0x2a04b61db1ff1cc90deb94dac4eba81122c2204b","10000000","No"
"0x2a18c8586c4716686448ba29e649e5c940af0d7b","0.0477453574647796","No"
"0x2a77ba365158b9db11119c9f8164788e6dc7679c","5777.0701882708","No"
"0x2b7d141a63ebab9ee78dfb312874859933033895","3916.81762361154","No"
"0x2baae39a6606c7619ec21535d679ffb030f3c52c","7199.34768078965","No"
"0x2bf3407c56d7f4b1da162ce85a7e4d5ce72d54ba","123.709741456404","No"
"0x2c3b311362ed28de8a7b06befac850db320fd27a","600","No"
"0x2c4d14e11143b654fee5f3736f84a227fc0d9050","4145.24836693178","No"
"0x2c97bb6058e7a7f61768464aae86470d9ba57421","97.9042073776119","No"
"0x2e4acd4d8051b9d4febdad7e2182f6a1fc4b16e2","5887.6860677285","No"
"0x2e5a0dbaed7fbe7d0ad9d709ffa14e30ab1bf2e6","9.9999999941885E-05","No"
"0x2edde9895be01eca7d3676db5b85d14edfdb65b8","317.166846158408","No"
"0x30218e7aa5482c2a85c40b288521257386ba30ed","2129","No"
"0x32371b624fad61fcc122813ac42ec6f8639f7fb4","1275","No"
"0x34a0a991f7fc55d375ed6f151d5a8a6a28521dd9","5838.29551893711","No"
"0x3519d9e46e2f39e1eba859025c06c2c917a7c878","11301.9977994849","No"
"0x359982f4cfa59ade3f248c0427e044cba599402f","2289.31772191654","No"
"0x35a290cf118a42e4ad3926b2034be90c435435ee","25500","No"
"0x35d4d0c3d7272e007967a7ec65bcc7ba2ebc35a5","2550","No"
"0x362b3f67bfe239b6f8020767f7aa582a7fc5e70f","312","No"
"0x3667bb0e56d2035d28c68f18908dc10dbcedecb3","12367.5","No"
"0x36734fad014e5c1a692aaec76c19ea0cd90dff49","20130.1606902943","No"
"0x36d70a0387aaacf3eb03667382af89e5334e1789","1657.5","No"
"0x370dc3c0f209aacd1a884782c83ad486bfb14c6a","100","No"
"0x3970963475e24c30c0687a4201186e418aed7d6e","107.254298415995","No"
"0x3bd3ce01c82a12d7cff7c85a9e8bb27ae42fb548","50058.547472981","No"
"0x3c485eeeff15c25af47108ba90e6fa4e12a745ed","19494.1203990129","No"
"0x3c49f52cdc52871da946bc25ac9e991366f35172","6497.89234760956","No"
"0x3d012bb8bdc139c0185e5e1db25c0033c871cffb","3611.38887783363","No"
"0x3d6cac9a1c59c253befeb896caf2df1f22a08171","25.5","No"
"0x3e3608a2aee589dbe776b4886d05f162c2d2246c","299.057239663753","No"
"0x3e8f16e6daa88c26e4a33521d1bf12204d30a1ab","2000","No"
"0x3eb16512ac9e60b030ec04aec7411b0aef0ecbea","3130.98511237171","No"
"0x3f41793fd885618d2449628f9fcb75ae8e167d76","5049","No"
"0x3f51fd4aa86c6b8d5758a878948216b30b50b933","6357.15926957093","No"
"0x3f580ca7d295eaf2d62e060d647a2018e59a9b8b","1147.5","No"
"0x3fab2d60cc04676849374cf9eb06caa8959b2447","2448.23127942919","No"
"0x401eb7d178bde9b501413664957b26ccf80ea1e3","636.686216619766","No"
"0x407bc1de6ef2bbfb018443831a3668eb0a53b49d","867","No"
"0x425140707a698a0b128a52c938a199e3b1429e91","586.5","No"
"0x437e9caeaa628fd9d0de15c55d1fdcf0418afb01","2295.1376856226","No"
"0x43e437850f097d995d0e304b7472d0fcaab06259","10292.2830663478","No"
"0x442747e725d0e1d1fe46c3635f8e01253b6d1ec7","154313.14417517","No"
"0x444fe3e5a882d24166fd64c9598fecc1702d47e7","10189","No"
"0x448749280160d2126053330fa7a18f893943c455","11930.1416966539","No"
"0x449bcd3221b415e1a915360b3778cda686c9b334","0.245215265783488","No"
"0x4553ed5d8d3731e629f67bd86abd021175f31848","10500","No"
"0x4574b0a35ee33b10732912f7ca9c720da0f1f70d","13646.8852128609","No"
"0x45b6160cba809ee44516e161c1712a66e0facfbe","2000","No"
"0x45b733a76469c43745a2ce2f6286fcb979a77192","27838.5921951012","No"
"0x4711f850523bce679509b66ae63486fe2fd7011d","2550","No"
"0x475b80b9b2da163e3239cc2cfde9e4878af445dc","465.132887292066","No"
"0x4770cbf93bb7e113abdfdcf8ab71134f018b5d75","510","No"
"0x47a544126807fb7e26e7445d87312f1949970a03","2354.66942744527","No"
"0x48fe9014b97f23e1c2b3821cbbb6f52b1c53ae9d","2488.8459","No"
"0x49307d775728daf1d4736ab762de0cefd035e323","1E-18","No"
"0x49c233d25768e462f0474390f653baf40dd592b2","382.5","No"
"0x49e4939c3c59da0ead529495432ca15f9ba89d99","1500.79865689","No"
"0x4a09d2f4004de4e9bf775ff6b230cbefd0f7c1d1","714","No"
"0x4b1a0150bf9fc3c28e4e551a221a30b54a1ea41e","195.765172512439","No"
"0x4c1ca681f090a42af7fddef4262349dd2ad43e42","510","No"
"0x4cf8be01027ad66c4939181a5b8c5b2b281771f0","801.87110802248","No"
"0x4e582244a38e5a20c8e94c8151d235db90c2904d","1269.85611151117","No"
"0x4ed16389b601824dfecbd14145b3be57db5a360f","1709.93708804979","No"
"0x4f573acbb13abd9a047cf6bc1b88012b30b45589","10167.5544374415","No"
"0x501bf028fce000caa3d85fee8b4c7f93135c5491","5000","No"
"0x50eb00ec243851a4012333476b553c2b37740267","4408.5726603019","No"
"0x50fa7c64b08472fb0884c3445ac0457357c34215","510","No"
"0x51e62535c5b49ce5ee9f6f553630b4ce5d5cfc53","637.5","No"
"0x51f0c04fc467b823594ec4ee1de0f15de17917bb","3153.83486156251","No"
"0x52427b0035f494a21a0a4a1abe04d679f789c821","69.9696173873279","No"
"0x5267102e95054db96f343027bcbbeccf853699a3","2215.73231425217","No"
"0x54105cd60db26bb5c19826e816e76be9ae312aa7","2295.91049792004","No"
"0x54c02dbb58bea85543066b59a61b05085546bdbb","105.395718772301","No"
"0x54f2700371c3c3c56b7de26fe9babfd90d526f84","200","No"
"0x54f750c7b04efcc731f120fa8cd7c8d061b9bac1","3258.80704674955","No"
"0x5793667e17801b4d2eff2a51c9cbc0b2c7b3f671","600","No"
"0x57a2995b9edadce5c1282702b238e1616745a5e3","12320.6998441006","No"
"0x57ddbb73c475eabaea7650950c2fe31a5e6bd866","19372.9869044122","No"
"0x582fdfba555a25e476a9f05863cf79f8ddf707c9","851.784081908038","No"
"0x584cb319a932f5409e047d8f2efd5f92d2adb40a","1463.85246504432","No"
"0x58f1e0b9357c83370937d95c26a837d8ccfb8f89","324.205009930256","No"
"0x59480d300ad462d72988e47b42cfcef6db6e2251","2000","No"
"0x597bea912e8734e17ddc4f43a489a1472d9459cf","3142.74053084108","No"
"0x5ac52f4a076f351ce6afaa6d21c0d5b16f97ecfc","3009.57334614265","No"
"0x5ae77a48c05ff816bec76cdb0065be17c6fac7fc","6120","No"
"0x5b379d43cff73e74866c07d39aee3f4849c0735f","510","No"
"0x5b68b9aa83a4744ae05920c397065ee913a2340b","180","No"
"0x5b8613f8e1fd0cab5a02e9c7ae4552eab68e4ff5","4.492253E-12","No"
"0x5c1b4e5a589fa62e0dadad396e969c1b9c0fe0af","1176.5273721702","No"
"0x5cc115384d31fc5227da6bab58ded7e3e31f0a76","47.8126656226107","No"
"0x5d2f29aa18aef827317c48bd2b4f05fa24880038","1000","No"
"0x5d3e18d69c7b3a1276562f75e3da3671472164d6","100","No"
"0x5daec27ec5233509c846c7e8e418ce0e12bf59dd","200","No"
"0x5e9aa8b38d64c663b81f9b24b15e399f4643a8df","0.32322321312346","No"
"0x5f3e4b4d6d334be1ed04e8acef3f554a84978ac9","9.9999999935128E-05","No"
"0x5f9186a497cb195a8ff9a93008ef65dcba178a51","0.418697339679885","No"
"0x5fa96c80fa2688cf09a2a5adf4aaf3e9e6462354","6193.52012385175","No"
"0x5fe1e1973dc2247479bdb324ee21681e7144eb46","2023.4300423563","No"
"0x603cbed1e1c1d17cbc1d15d7226d10bcbadf3ce8","2601.48614646532","No"
"0x61844adb465673ca1957eae5372946f2d9aeca76","533.511051257161","No"
"0x61e0841d103d77325e7743d1ff7117efe7c2c9f6","13087.653280349","No"
"0x62e0cc26a8183195a0ea61e010dfb0e355f9e111","360","No"
"0x638164f85c6ca02181c3baf4e24eace7365ed2cb","200","No"
"0x650db18fc5d0aa2e847ceb09b152ced7ee7532d2","6350.72907953603","No"
"0x65ec6a89cd3424adbf4c4ab5dff83f3dad7177d8","2837.07126117002","No"
"0x684f9856e9bdb4ef9e8cc40ebf7c5575a4d0eec1","797.369212755975","No"
"0x69abf7d07de0a12aa314d1d43448ea0508c6af7a","5501.65263730092","No"
"0x6a928643e35e254fcc6927c689694897712d3827","6756.12304130148","No"
"0x6bbbd070bcd0c0303810ab49885e383a943ed926","1000","No"
"0x6bedd289ba1dfbfb78e11ca21555bebd10daf0ae","869.303162184305","No"
"0x6bee09c6afceafb2ad9e31ce1bece2f5c896ca4a","70","No"
"0x6c319d73fea4962e454ea1c07ca70cba542df8b3","458.595993288571","No"
"0x6c795be0a4887816ce761d41e482fcf4fbca9963","484.5","No"
"0x6c877ead99f3a9d06d8d6fd03b3b63f2ee2419fc","255","No"
"0x6caeb17b302490a85fb86a617df699e529284461","110","No"
"0x6cdbd3b8363502f6332c8d89a84976cc13801186","338.3732235514","No"
"0x6d67ffb0f25259f499a25a635e4e26c090d0bb24","1.0964133401498","No"
"0x6db0924bc39878f43ef60ad38d392668eb878b95","18487.9368090263","No"
"0x6e190f61728035bab558145483919f3210ebdcd9","1275","No"
"0x6f188a5bb7d35517783918e89359abb1f0030082","1675.06993719417","No"
"0x70e26d1d0c4ecad25f66835ecec0126e104c34cf","0.999999999999932","No"
"0x7103023e0729bb512db31ac3e4e68f4d90b6b2e9","10494.4305394979","No"
"0x71ef16691e02ea77a87a9bf0b89f7cd1d66aa3d9","0.00576607791836923","No"
"0x720a8b0c9e31218528bb84f27592782d04f44b7a","1351.34528812814","No"
"0x72c381ff2efb8999474c1b1c7b54f9f398b6aa2e","200","No"
"0x72c3bd68f5473699d278abc0440ca3587aba62c1","5000","No"
"0x72e0c3d996fae3bcb2107f7dc0363f0681ae0f7f","5667.49393963978","No"
"0x73282a63f0e3d7e9604575420f777361eca3c86a","24.85","No"
"0x7342f3a3ed207bbd0d809d84f87843aca04fc1bf","25.5","No"
"0x737e4754ca33bbf3a5ca0191f81d0acdff42a62e","37627.5316727352","No"
"0x73ac8ffa7684c35984cc26dd276c855f69aedf2b","0.0356595586825749","No"
"0x73b98dd83107f3ba65abbbf9d1676f999fc1b397","1524.85324680384","No"
"0x73eccca839a60f0beb67eb51c0b910588edc9117","223.090063886063","No"
"0x750e680224851c9812d15b07dc4c546b3efbddd6","50.5837426660482","No"
"0x75c6ddf17647ebdd606983d28937ab67ef1ddc19","4239.42416452514","No"
"0x7656b412ec4f1a4dabec7154238c1d7c0561a499","0.000986080927574336","No"
"0x766363cbeb1d9fbfeb403a9c12ecaf391bdf8087","25.5","No"
"0x76db15eee3a9a61d955d159aa3c57d46e6769164","765","No"
"0x7735fd9e45212384040789be9fc14a54760e284c","50","No"
"0x77e5fc2bd14e5d77b4385e00f0636c2de8b2e04f","510","No"
"0x787e6870754cc306c1758db62dc6cd334ba76345","10000","No"
"0x78d95082dcde0e75e280e528b362edb8c6044f61","453.761943","No"
"0x78ed4181b5f9960b33ac9d467d3e74a209e5d4fe","26233.9191451068","No"
"0x78f0bc7621265387c31bc0950776582888d6a823","73.6819798778217","No"
"0x792882e0fcd3949e931a5a03531c627baddb2e28","6000","No"
"0x79a771c715a91e64c4c5edaaabb3adb7ff6ee23c","521.217890991019","No"
"0x79d7348dea02b6ad19b88fbd45d9b4333277badd","4500","No"
"0x7a27a20f6a489882700db0c86be063f12a4f6bf2","400.000023820591","No"
"0x7c07d6f3c05ff3b372d8ab139d16d2eac93cc698","0.412514647051649","No"
"0x7c1644b5663f291cda573f6f7ba80e887db71655","182.07","No"
"0x7c985b05cc9af910fbef4d65f42bc143e02de95d","4065.77738383273","No"
"0x7d26dc481b926146647627af8052c1d5f87c16cc","216.75","No"
"0x7d58966bbc1d8f61d6453298564fcff3c7a7d4c3","200","No"
"0x7e1dc888c0f3655059b84845610bd0c1c383dc90","1000","No"
