"HolderAddress","Balance","PendingBalanceUpdate"
"0xa7becb36820d7dab7e8380f2337a2153a8eb3ae0","49880295","No"
"0x0c9027a47e8b174a95791760b86688d00f45ab6e","9102991.36618811","No"
"0x146520474d2a61da0ea66ed0e89806e56c38a19a","99976059","No"
"0x41ca472d864859faa93148054cc897ac7eaf5b57","96374778.5714286","No"
"0xc69a03f09f4906df763a49e415c1a354f0f56e82","99041666.67","No"
"0xbc1ee2fb6a7b3d19439f6f4f575c886585cb4621","32920","No"
"0xb3c523b3c77414837c5ca605be570fd9a04d531d","5606","No"
"0x50770e3a529475509880f0da1b0b67a2e03cbfc0","23.67","No"
"0xf83f89f98343c2cfa41ce501aea5847384728553","6666666.67","No"
"0xccea309d9277689e844eedf0c9a303bcc5c10ac8","6664466.67","No"
"0xe9235c94909bead9048307086c86ab3001155095","1","No"
"0x2bc98b4e3e2faa72ad581cd3cbc48518a6570639","1410164","No"
"0x3050715aff1a979734deb1249fec504a3743e278","2080","No"
"0x2cf999de08fca7068158dbf88e8650a7e2f43f06","74000","No"
"0x4a5bb1c9347a0d4f7e06a29239162f03647d9232","475000","No"
"0x8c561a8deb53cfe4cd95134730530ae8969d3b80","400000","No"
"0x498aa702dc63ca2f5c3b770a7bb52713fd559a33","1000000","No"
"0x42cf6485d22957db2e194d7c6863a74ba54580c3","841568.819745099","No"
"0x214918b971ca1293190f54424e01de3fb2b0ad0f","4000008.32699908","No"
"0xfbbf9cd0d94fc3d5f2b7943738f9a8050a00757a","160000","No"
"0x1688571a589276fdddc8fcc492b1e023c4ddd6c9","800000","No"
"0x4e231094b52b269aa6ff2b35d29402635ccb5549","5","No"
"0x1bdfb1e67201d8042d7f93022445a95f4691b49e","42327","No"
"0x6e22aaec01d3efbd446714877411a71db494a5d5","1","No"
"0x127108abeea6d4c23c9843b97fadf3c99752d075","14000","No"
"0x5e02d47dfa7cdbdf41b4a05c3fc5894560600859","171711","No"
"0x66979bf23c37ada615642db9148919136e18955e","20000","No"
"0xc5386ff5578e589774c1612e27c5bba813076ee4","6000","No"
"0x89e58f935e54d44764eebae1e262835c73fdb9f0","399999.99667","No"
"0xb79a92301dbf96449039368ed7ba0f9c91faddef","50000","No"
"0x05934feeb55b0e936b934211f197935673a72eca","200000","No"
"0xfdb251b0ab13025fef4a5bab6b5e42412063c337","114360.561468311","No"
"0x7f1da3697236d4a5e0efd2a99de5d9c076937856","64002795.6566567","No"
